num,x_coord,y_coord,radius,angle_rad,label,is_pseudo,pseudo_types
328,-9,6,10.8167,2.5536,comp,0,
329,-9,5,10.2956,2.6345,comp,0,
330,-9,4,9.8489,2.7234,comp,0,
331,-9,3,9.4868,2.8198,prime,0,
332,-9,2,9.2195,2.9229,comp,0,
333,-9,1,9.0554,3.0309,comp,0,
334,-9,0,9.0,3.1416,comp,0,
335,-9,-1,9.0554,3.2522,comp,0,
336,-9,-2,9.2195,3.3603,comp,0,
337,-9,-3,9.4868,3.4633,prime,0,
338,-9,-4,9.8489,3.5598,comp,0,
339,-9,-5,10.2956,3.6487,comp,0,
340,-9,-6,10.8167,3.7296,comp,0,
341,-9,-7,11.4018,3.8026,pseudo,1,FERMAT_2|EULER_2
342,-9,-8,12.0416,3.8682,comp,0,
343,-9,-9,12.7279,3.927,comp,0,
344,-8,-9,12.0416,3.9857,comp,0,
345,-7,-9,11.4018,4.0513,comp,0,
346,-6,-9,10.8167,4.1244,comp,0,
347,-5,-9,10.2956,4.2053,prime,0,
348,-4,-9,9.8489,4.2942,comp,0,
349,-3,-9,9.4868,4.3906,prime,0,
350,-2,-9,9.2195,4.4937,comp,0,
351,-1,-9,9.0554,4.6017,comp,0,
352,0,-9,9.0,4.7124,comp,0,
353,1,-9,9.0554,4.823,prime,0,
354,2,-9,9.2195,4.9311,comp,0,
355,3,-9,9.4868,5.0341,comp,0,
356,4,-9,9.8489,5.1306,comp,0,
357,5,-9,10.2956,5.2195,comp,0,
358,6,-9,10.8167,5.3004,comp,0,
359,7,-9,11.4018,5.3734,prime,0,
360,8,-9,12.0416,5.439,comp,0,
361,9,-9,12.7279,5.4978,comp,0,
362,10,-9,13.4536,5.5504,comp,0,
363,10,-8,12.8062,5.6084,comp,0,
364,10,-7,12.2066,5.6725,comp,0,
365,10,-6,11.6619,5.7428,comp,0,
366,10,-5,11.1803,5.8195,comp,0,
367,10,-4,10.7703,5.9027,prime,0,
368,10,-3,10.4403,5.9917,comp,0,
369,10,-2,10.198,6.0858,comp,0,
370,10,-1,10.0499,6.1835,comp,0,
371,10,0,10.0,0.0,comp,0,
372,10,1,10.0499,0.0997,comp,0,
373,10,2,10.198,0.1974,prime,0,
374,10,3,10.4403,0.2915,comp,0,
375,10,4,10.7703,0.3805,comp,0,
376,10,5,11.1803,0.4636,comp,0,
377,10,6,11.6619,0.5404,pseudo,1,ODD_FIBONACCI
378,10,7,12.2066,0.6107,comp,0,
379,10,8,12.8062,0.6747,prime,0,
380,10,9,13.4536,0.7328,comp,0,
381,10,10,14.1421,0.7854,comp,0,
382,9,10,13.4536,0.838,comp,0,
383,8,10,12.8062,0.8961,prime,0,
384,7,10,12.2066,0.9601,comp,0,
385,6,10,11.6619,1.0304,pseudo,1,NSW
386,5,10,11.1803,1.1071,comp,0,
387,4,10,10.7703,1.1903,comp,0,
388,3,10,10.4403,1.2793,comp,0,
389,2,10,10.198,1.3734,prime,0,
390,1,10,10.0499,1.4711,comp,0,
391,0,10,10.0,1.5708,comp,0,
392,-1,10,10.0499,1.6705,comp,0,
393,-2,10,10.198,1.7682,comp,0,
394,-3,10,10.4403,1.8623,comp,0,
395,-4,10,10.7703,1.9513,comp,0,
396,-5,10,11.1803,2.0344,comp,0,
397,-6,10,11.6619,2.1112,prime,0,
398,-7,10,12.2066,2.1815,comp,0,
399,-8,10,12.8062,2.2455,comp,0,
400,-9,10,13.4536,2.3036,comp,0,
401,-10,10,14.1421,2.3562,prime,0,
402,-10,9,13.4536,2.4088,comp,0,
403,-10,8,12.8062,2.4669,comp,0,
404,-10,7,12.2066,2.5309,comp,0,
405,-10,6,11.6619,2.6012,comp,0,
406,-10,5,11.1803,2.6779,comp,0,
407,-10,4,10.7703,2.7611,comp,0,
408,-10,3,10.4403,2.8501,comp,0,
409,-10,2,10.198,2.9442,prime,0,
410,-10,1,10.0499,3.0419,comp,0,
411,-10,0,10.0,3.1416,comp,0,
412,-10,-1,10.0499,3.2413,comp,0,
413,-10,-2,10.198,3.339,comp,0,
414,-10,-3,10.4403,3.433,comp,0,
415,-10,-4,10.7703,3.5221,comp,0,
416,-10,-5,11.1803,3.6052,comp,0,
417,-10,-6,11.6619,3.682,comp,0,
418,-10,-7,12.2066,3.7523,comp,0,
419,-10,-8,12.8062,3.8163,prime,0,
420,-10,-9,13.4536,3.8744,comp,0,
421,-10,-10,14.1421,3.927,prime,0,
422,-9,-10,13.4536,3.9796,comp,0,
423,-8,-10,12.8062,4.0376,comp,0,
424,-7,-10,12.2066,4.1017,comp,0,
425,-6,-10,11.6619,4.172,comp,0,
426,-5,-10,11.1803,4.2487,comp,0,
427,-4,-10,10.7703,4.3319,comp,0,
428,-3,-10,10.4403,4.4209,comp,0,
429,-2,-10,10.198,4.515,comp,0,
430,-1,-10,10.0499,4.6127,comp,0,
431,0,-10,10.0,4.7124,prime,0,
432,1,-10,10.0499,4.8121,comp,0,
433,2,-10,10.198,4.9098,prime,0,
434,3,-10,10.4403,5.0038,comp,0,
435,4,-10,10.7703,5.0929,comp,0,
436,5,-10,11.1803,5.176,comp,0,
437,6,-10,11.6619,5.2528,comp,0,
438,7,-10,12.2066,5.3231,comp,0,
439,8,-10,12.8062,5.3871,prime,0,
440,9,-10,13.4536,5.4452,comp,0,
441,10,-10,14.1421,5.4978,comp,0,
442,11,-10,14.8661,5.5454,comp,0,
443,11,-9,14.2127,5.5975,prime,0,
444,11,-8,13.6015,5.6544,comp,0,
445,11,-7,13.0384,5.7165,comp,0,
446,11,-6,12.53,5.7838,comp,0,
447,11,-5,12.083,5.8566,comp,0,
448,11,-4,11.7047,5.9344,comp,0,
449,11,-3,11.4018,6.0169,prime,0,
450,11,-2,11.1803,6.1033,comp,0,
451,11,-1,11.0454,6.1925,comp,0,
452,11,0,11.0,0.0,comp,0,
453,11,1,11.0454,0.0907,comp,0,
454,11,2,11.1803,0.1799,comp,0,
455,11,3,11.4018,0.2663,comp,0,
456,11,4,11.7047,0.3488,comp,0,
457,11,5,12.083,0.4266,prime,0,
458,11,6,12.53,0.4993,comp,0,
459,11,7,13.0384,0.5667,comp,0,
460,11,8,13.6015,0.6288,comp,0,
461,11,9,14.2127,0.6857,prime,0,
462,11,10,14.8661,0.7378,comp,0,
463,11,11,15.5563,0.7854,prime,0,
464,10,11,14.8661,0.833,comp,0,
465,9,11,14.2127,0.8851,comp,0,
466,8,11,13.6015,0.942,comp,0,
467,7,11,13.0384,1.0041,prime,0,
468,6,11,12.53,1.0714,comp,0,
469,5,11,12.083,1.1442,comp,0,
470,4,11,11.7047,1.222,comp,0,
471,3,11,11.4018,1.3045,comp,0,
472,2,11,11.1803,1.3909,comp,0,
473,1,11,11.0454,1.4801,comp,0,
474,0,11,11.0,1.5708,comp,0,
475,-1,11,11.0454,1.6615,comp,0,
476,-2,11,11.1803,1.7506,comp,0,
477,-3,11,11.4018,1.837,comp,0,
478,-4,11,11.7047,1.9196,comp,0,
479,-5,11,12.083,1.9974,prime,0,
480,-6,11,12.53,2.0701,comp,0,
481,-7,11,13.0384,2.1375,comp,0,
482,-8,11,13.6015,2.1996,comp,0,
483,-9,11,14.2127,2.2565,comp,0,
484,-10,11,14.8661,2.3086,comp,0,
485,-11,11,15.5563,2.3562,comp,0,
486,-11,10,14.8661,2.4038,comp,0,
487,-11,9,14.2127,2.4559,prime,0,
488,-11,8,13.6015,2.5128,comp,0,
489,-11,7,13.0384,2.5749,comp,0,
490,-11,6,12.53,2.6422,comp,0,
491,-11,5,12.083,2.715,prime,0,
492,-11,4,11.7047,2.7928,comp,0,
493,-11,3,11.4018,2.8753,comp,0,
494,-11,2,11.1803,2.9617,comp,0,
495,-11,1,11.0454,3.0509,comp,0,
496,-11,0,11.0,3.1416,comp,0,
497,-11,-1,11.0454,3.2323,comp,0,
498,-11,-2,11.1803,3.3214,comp,0,
499,-11,-3,11.4018,3.4078,prime,0,
500,-11,-4,11.7047,3.4904,comp,0,
501,-11,-5,12.083,3.5682,comp,0,
502,-11,-6,12.53,3.6409,comp,0,
503,-11,-7,13.0384,3.7083,prime,0,
504,-11,-8,13.6015,3.7704,comp,0,
505,-11,-9,14.2127,3.8273,comp,0,
506,-11,-10,14.8661,3.8794,comp,0,
507,-11,-11,15.5563,3.927,comp,0,
508,-10,-11,14.8661,3.9746,comp,0,
509,-9,-11,14.2127,4.0267,prime,0,
510,-8,-11,13.6015,4.0836,comp,0,
511,-7,-11,13.0384,4.1457,comp,0,
512,-6,-11,12.53,4.213,comp,0,
513,-5,-11,12.083,4.2858,comp,0,
514,-4,-11,11.7047,4.3636,comp,0,
515,-3,-11,11.4018,4.4461,comp,0,
516,-2,-11,11.1803,4.5325,comp,0,
517,-1,-11,11.0454,4.6217,comp,0,
518,0,-11,11.0,4.7124,comp,0,
519,1,-11,11.0454,4.803,comp,0,
520,2,-11,11.1803,4.8922,comp,0,
521,3,-11,11.4018,4.9786,prime,0,
522,4,-11,11.7047,5.0612,comp,0,
